categoria,subcategoria,nombre,precio,precio_normal,precio_oferta,precio_referencia,promocion,url,imagen_url
"Lácteos, Huevos y Congelados",Leche,Leche en polvo nido entera 800 g,9990,9990,,$12.488 / kg,,https://www.unimarc.cl/product/leche-en-polvo-intantanea-nido-800-gr,https://unimarc.vtexassets.com/arquivos/ids/233875/000000000000658948-UN-01.jpg?v=638345260282830000
"Lácteos, Huevos y Congelados",Leche,Leche protein loncoleche capuccino 200 ml,700,700,,$3.500 / L,,https://www.unimarc.cl/product/leche-protein-loncoleche-200m-capuccino,https://unimarc.vtexassets.com/arquivos/ids/227493/000000000652766001-UN-01.jpg?v=637909033645770000
"Lácteos, Huevos y Congelados",Leche,Yoghurt loncoleche protein arándano 140 g,750,750,,$5.357 / kg,,https://www.unimarc.cl/product/yog-protein-loncol-140g-arandano,https://unimarc.vtexassets.com/arquivos/ids/238081/000000000638426004-UN-01.jpg?v=638463628013100000
"Lácteos, Huevos y Congelados",Leche,Yoghurt loncoleche protein vainilla 140 g,750,750,,$5.357 / kg,,https://www.unimarc.cl/product/yog-protein-loncol-140g-vainilla,https://unimarc.vtexassets.com/arquivos/ids/238080/000000000638426003-UN-01.jpg?v=638463626776470000
"Lácteos, Huevos y Congelados",Leche,Leche en polvo descremada colun instantánea bolsa 800 g,7390,7390,,$9.238 / kg,,https://www.unimarc.cl/product/leche-polvo-inst-descremada-colun-800-gr,https://unimarc.vtexassets.com/arquivos/ids/235070/000000000000646835-UN-01.jpg?v=638416324677600000
"Lácteos, Huevos y Congelados",Leche,Leche semidescremada natural soprole 1 l,1290,1290,,$1.290 / L,,https://www.unimarc.cl/product/leche-semidescremada-soprole-con-tapa-1-l,https://unimarc.vtexassets.com/arquivos/ids/252403/000000000000516747-UN-01.jpg?v=638972809319730000
"Lácteos, Huevos y Congelados",Leche,Leche proteína soprole chocolate 6 un de 200 ml,4190,4190,,$3.492 / L,,https://www.unimarc.cl/product/leche-choco-alta-proteina-soprole-200ml-2,https://unimarc.vtexassets.com/arquivos/ids/181991/635931.jpg?v=636815350175970000
"Lácteos, Huevos y Congelados",Leche,Leche en polvo nido etapa 3 bolsa 700 g,10190,10190,,$14.557 / kg,,https://www.unimarc.cl/product/leche-en-pvo-etapa-3-optimus-nido-700gr,https://unimarc.vtexassets.com/arquivos/ids/234195/000000000000665274-UN-01.jpg?v=638234797960130000
"Lácteos, Huevos y Congelados",Leche,Leche semidescremada colun origen chocolate 200 ml,610,610,,$3.050 / L,,https://www.unimarc.cl/product/leche-origen-chocolate-colun-200ml-2,https://unimarc.vtexassets.com/arquivos/ids/250328/000000000000679147-UN-01.jpg?v=638895847333400000
"Lácteos, Huevos y Congelados",Leche,Leche protein soprole sabor cappuccino 200 ml,700,700,,$3.500 / L,,https://www.unimarc.cl/product/leche-protein-soprole-200ml-cappuccino,https://unimarc.vtexassets.com/arquivos/ids/249814/000000000681039001-UN-01.jpg?v=638863789902800000
