categoria,subcategoria,nombre,precio,precio_normal,precio_oferta,precio_referencia,promocion,url,imagen_url
"Lacteos, Huevos y Congelados",Leche,Leche Sin Lactosa Entera 1 L Soprole,1390,1390,,,,https://super.lider.cl/ip/leche/leche-sin-lactosa-entera/00780290000340?channable=06660b696400303037383032393030303033343010,https://i5.walmartimages.cl/asr/254f0d2d-07f3-4a32-95f8-26360b6d3526.b89239bda4bce45d1bb0794c282c0a02.jpeg
"Lacteos, Huevos y Congelados",Leche,Leche Sin Lactosa Vainilla Caja 1 L Loncoleche,2190,2190,,,,https://super.lider.cl/ip/leche/leche-sin-lactosa-vainilla-caja/00780291000501?channable=06660b69640030303738303239313030303530318c,https://i5.walmartimages.cl/asr/e77f415c-4292-4f32-a247-b596d83dcc80.0356e30c595ecd659c95cefedc4c1f36.jpeg?null
"Lacteos, Huevos y Congelados",Leche,Leche Descremada Sin Lactosa Caja 1 L Surlat,1290,1290,,,,https://super.lider.cl/ip/leche/leche-descremada-sin-lactosa-caja/00780870950199?channable=06660b6964003030373830383730393530313939fe,https://i5.walmartimages.cl/asr/3cf8cd51-cc2a-429d-88ee-5265a6fcb991.e012026706c8e89a9008e8fe881a024c.jpeg?null
"Lacteos, Huevos y Congelados",Leche,Leche Cultivada Proteína Frutilla 510 ml Soprole,1990,1990,,,,https://super.lider.cl/ip/leche/leche-cultivada-proteina-frutilla/00780290000492?channable=06660b6964003030373830323930303030343932d5,https://i5.walmartimages.cl/asr/a66fd102-4c34-49ea-be59-f9fbd45919d5.c6956f00e2a46269bda893e5c106e789.jpeg
"Lacteos, Huevos y Congelados",Leche,Leche Sin Lactosa Descremada Con Fibra 1 L Soprole,1790,1790,,,,https://super.lider.cl/ip/leche/leche-sin-lactosa-descremada-con-fibra/00780290000462?channable=06660b696400303037383032393030303034363254,https://i5.walmartimages.cl/asr/024aed3d-7f5c-428d-8398-544b0b7eedf4.59d6fab762d81ee8536947e2628e0d2e.jpeg?null
"Lacteos, Huevos y Congelados",Leche,Leche Sin Lactosa Descremada Zerolacto 1 L Soprole,1390,1390,,,,https://super.lider.cl/ip/leche/leche-sin-lactosa-descremada-zerolacto/00780290004801?channable=06660b6964003030373830323930303034383031d1,https://i5.walmartimages.cl/asr/7d7346db-9147-488c-8247-9807076c640c.935802cc62bcb6031b7d0132568118be.jpeg
"Lacteos, Huevos y Congelados",Leche,Leche Sin Lactosa Semidescremada Zerolacto 1 L Soprole,1390,1390,,,,https://super.lider.cl/ip/leche/leche-sin-lactosa-semidescremada-zerolacto/00780290020081?channable=06660b696400303037383032393030323030383133,https://i5.walmartimages.cl/asr/1e55b92b-e8b8-4390-af5b-56f187d91119.8d422b6d1b82f2dbd6154cdf860af205.jpeg
"Lacteos, Huevos y Congelados",Leche,Leche Semidescremada Sin Lactosa Chocolate Caja 1 L Loncoleche,2190,2190,,,,https://super.lider.cl/ip/leche/leche-semidescremada-sin-lactosa-chocolate-caja/00780291000072?channable=06660b6964003030373830323931303030303732cf,https://i5.walmartimages.cl/asr/8eadc5b6-01f6-4ec4-9680-3ac03773c326.1040d4302da30cc18d40b414f3f25a76.jpeg?null
"Lacteos, Huevos y Congelados",Leche,Leche Entera Natural Sin Lactosa 1 L Loncoleche,1350,1350,,,,https://super.lider.cl/ip/leche/leche-entera-natural-sin-lactosa/00780291000097?channable=06660b6964003030373830323931303030303937d5,https://i5.walmartimages.cl/asr/cd49911c-787e-4508-87a3-64b8853b4ecc.1b609dc93a8f62c96693328a65aef6a3.jpeg
"Lacteos, Huevos y Congelados",Leche,Leche Descremada Natural Sin Lactosa 1 L Loncoleche,1350,1350,,,,https://super.lider.cl/ip/leche/leche-descremada-natural-sin-lactosa/00780291008350?channable=06660b69640030303738303239313030383335308e,https://i5.walmartimages.cl/asr/a698b83f-767d-43d6-9cf5-bfd9b04f0721.8dcc085dbd00c21d78c271d2c28a2754.jpeg
"Lacteos, Huevos y Congelados",Leche,Leche Semidescremada Sin Lactosa Caja Con Tapa 1 L Colun,1390,1390,,,,https://super.lider.cl/ip/leche/leche-semidescremada-sin-lactosa-caja-con-tapa/00780292000741?channable=06660b6964003030373830323932303030373431ba,https://i5.walmartimages.cl/asr/9fa34cc9-5337-4f51-8963-60f0c4e706e1.10b9ed257ad1227c73b7425d8654db3d.jpeg?null
"Lacteos, Huevos y Congelados",Leche,Leche Cultivada Sabor Chirimoya Botella 1 L Soprole,2390,2390,,,,https://super.lider.cl/ip/leche/leche-cultivada-sabor-chirimoya-botella/00780290017030?channable=06660b696400303037383032393030313730333000,https://i5.walmartimages.cl/asr/c8039182-cc96-4be3-9230-95cc37599445.b87214263da29b830ad7b5f158235805.jpeg
"Lacteos, Huevos y Congelados",Leche,Leche Extra Proteína Caja 1 L Loncoleche,1950,1950,,,,https://super.lider.cl/ip/leche/leche-extra-proteina-caja/00780291000669?channable=06660b6964003030373830323931303030363639d7,https://i5.walmartimages.cl/asr/32b51c98-2edc-4a7c-bc63-f4c33bac41a7.627e7cf7edd2b63637ac142fba35dc7c.jpeg
"Lacteos, Huevos y Congelados",Leche,Leche Break Cappuccino 250 ml Loncoleche,650,650,,,,https://super.lider.cl/ip/leche/leche-break-cappuccino/00780291000807?channable=06660b696400303037383032393130303038303753,https://i5.walmartimages.cl/asr/db6f33d7-d2d1-4fbe-a30b-d45cfe06fba9.747db9a7ae984ada8107537ece044b02.jpeg
"Lacteos, Huevos y Congelados",Leche,Leche Cultivada Sabor Frutilla Botella 1 L Soprole,2390,2390,,,,https://super.lider.cl/ip/leche/leche-cultivada-sabor-frutilla-botella/00780290017002?channable=06660b696400303037383032393030313730303281,https://i5.walmartimages.cl/asr/fa74307b-a5e8-49bd-8030-318e93977c7a.adae4c0988bdbfd701491ad544b0cbca.jpeg
