categoria,subcategoria,nombre,marca,tipo,formato,precio,precio_normal,precio_oferta,precio_referencia,promocion,supermercado,url,imagen_url,producto_base
"Lacteos, Huevos y Congelados",Leche,Leche Descremada Natural Sin Lactosa 1 L Loncoleche,Loncoleche,sin lactosa,1 L,1390,1390,,,,Líder,https://super.lider.cl/ip/leche/leche-descremada-natural-sin-lactosa/00780291008350?channable=06660b69640030303738303239313030383335308e,https://i5.walmartimages.cl/asr/a698b83f-767d-43d6-9cf5-bfd9b04f0721.8dcc085dbd00c21d78c271d2c28a2754.jpeg,
"Lacteos, Huevos y Congelados",Leche,Leche Semidescremada Sin Lactosa Caja Con Tapa 1 L Colun,Colun,sin lactosa,1 L,1390,1390,,,,Líder,https://super.lider.cl/ip/leche/leche-semidescremada-sin-lactosa-caja-con-tapa/00780292000741?channable=06660b6964003030373830323932303030373431ba,https://i5.walmartimages.cl/asr/899dd9ae-0735-4aeb-906d-e66e84233062.e7fda780d4b06ae388044a74c35288e8.jpeg,
"Lacteos, Huevos y Congelados",Leche,Leche Sin Lactosa Entera. 1 L Soprole,Soprole,sin lactosa,1 L,1350,1350,,,,Líder,https://super.lider.cl/ip/leche/leche-sin-lactosa-entera/00780290000340?channable=06660b696400303037383032393030303033343010,https://i5.walmartimages.cl/asr/254f0d2d-07f3-4a32-95f8-26360b6d3526.b89239bda4bce45d1bb0794c282c0a02.jpeg,
"Lacteos, Huevos y Congelados",Leche,Leche Extra Proteína Caja 1 L Loncoleche,Loncoleche,proteína,1 L,1950,1950,,,,Líder,https://super.lider.cl/ip/leche/leche-extra-proteina-caja/00780291000669?channable=06660b6964003030373830323931303030363639d7,https://i5.walmartimages.cl/asr/32b51c98-2edc-4a7c-bc63-f4c33bac41a7.627e7cf7edd2b63637ac142fba35dc7c.jpeg,
"Lacteos, Huevos y Congelados",Leche,Leche Cultivada Sabor Frutilla Botella 1 L Soprole,Soprole,general,1 L,2490,2490,,,,Líder,https://super.lider.cl/ip/leche/leche-cultivada-sabor-frutilla-botella/00780290017002?channable=06660b696400303037383032393030313730303281,https://i5.walmartimages.cl/asr/fa74307b-a5e8-49bd-8030-318e93977c7a.adae4c0988bdbfd701491ad544b0cbca.jpeg,
"Lacteos, Huevos y Congelados",Leche,Leche Cultivada Sabor Chirimoya Botella 1 L Soprole,Soprole,general,1 L,2490,2490,,,,Líder,https://super.lider.cl/ip/leche/leche-cultivada-sabor-chirimoya-botella/00780290017030?channable=06660b696400303037383032393030313730333000,https://i5.walmartimages.cl/asr/c8039182-cc96-4be3-9230-95cc37599445.b87214263da29b830ad7b5f158235805.jpeg,
"Lacteos, Huevos y Congelados",Leche,Leche Sin Lactosa Descremada Zerolacto. 1 L Soprole,Soprole,sin lactosa,1 L,1350,1350,,,,Líder,https://super.lider.cl/ip/leche/leche-sin-lactosa-descremada-zerolacto/00780290004801?channable=06660b6964003030373830323930303034383031d1,https://i5.walmartimages.cl/asr/7d7346db-9147-488c-8247-9807076c640c.935802cc62bcb6031b7d0132568118be.jpeg,
"Lacteos, Huevos y Congelados",Leche,Leche Sin Lactosa Semidescremada Zerolacto. 1 L Soprole,Soprole,sin lactosa,1 L,1350,1350,,,,Líder,https://super.lider.cl/ip/leche/leche-sin-lactosa-semidescremada-zerolacto/00780290020081?channable=06660b696400303037383032393030323030383133,https://i5.walmartimages.cl/asr/1e55b92b-e8b8-4390-af5b-56f187d91119.8d422b6d1b82f2dbd6154cdf860af205.jpeg,
"Lacteos, Huevos y Congelados",Leche,Leche Descremada 1 L Surlat,Surlat,descremada,1 L,1090,1090,,,,Líder,https://super.lider.cl/ip/leche/leche-descremada/00780461747030?channable=06660b696400303037383034363137343730333069,https://i5.walmartimages.cl/asr/dbe1c6e8-9479-4bc3-aa94-b81529bb2fe1.049e8cc9a5d6495dc3e2373074fab508.jpeg?null,
"Lacteos, Huevos y Congelados",Leche,Leche Cultivada Next Sabor Frutilla Botella 1 L Soprole,Soprole,general,1 L,2490,2490,,,,Líder,https://super.lider.cl/ip/leche/leche-cultivada-next-sabor-frutilla-botella/00780290034502?channable=06660b696400303037383032393030333435303282,https://i5.walmartimages.cl/asr/18dee841-93f6-4a41-8911-97e2cd593bdc.d7f4975901ce4b2cc39fc6c21758cf30.jpeg?null,
