duplicado_con_ids,formato,marca,nombre,producto_base,producto_id,supermercados
16283;30115,1 kg,Sin marca,Lentejas Banquete 4 mm 1 kg,lentejas_banquete_4_mm_sin_marca,16283,
16283;30115,1 kg,Sin marca,Lentejas banquete 4 mm 1 kg,lentejas_banquete_4_mm_sin_marca,30115,
16290;30117,1 kg,Sin marca,Lentejas Banquete 6 mm 1 kg,lentejas_banquete_6_mm_sin_marca,16290,
16290;30117,1 kg,Sin marca,Lentejas banquete 6 mm 1 kg,lentejas_banquete_6_mm_sin_marca,30117,
16300;30111,1 kg,Sin marca,Lentejas Banquete 5 mm 1 kg,lentejas_banquete_5_mm_sin_marca,16300,
16300;30111,1 kg,Sin marca,Lentejas banquete 5 mm 1 kg,lentejas_banquete_5_mm_sin_marca,30111,
16775;30372,155 g,Sin marca,Galletas Mckay Vino 155 g,galletas_mckay_vino_sin_marca_general,16775,
16775;30372,155 g,Sin marca,Galletas mckay vino 155 g,galletas_mckay_vino_sin_marca_general,30372,
18311;30360,210 g,Sin marca,Chocolate de Leche Bon O Bon 210 g,chocolate_leche_bon_o_sin_marca,18311,
18311;30360,210 g,Sin marca,Chocolate de leche bon o bon 210 g,chocolate_leche_bon_o_sin_marca,30360,
20667;30657,1.5 L,Sin marca,Bebida Sprite 1.5 L,bebida_sprite_sin_marca_general_1_5l,20667,
20667;30657,1.5 L,Sin marca,Bebida sprite 1.5 l,bebida_sprite_sin_marca_general_1_5l,30657,
20694;30599,600 mL,Pepsi,Bebida Pepsi 600 ml,bebida_pepsi_general_600ml,20694,
20694;30599,600 mL,Pepsi,Bebida pepsi 600 ml,bebida_pepsi_general_600ml,30599,
20698;30605,600 mL,Sin marca,Bebida Kem Zero 600 ml,bebida_kem_sin_marca_zero_600ml,20698,
20698;30605,600 mL,Sin marca,Bebida kem zero 600 ml,bebida_kem_sin_marca_zero_600ml,30605,
20732;30626,1.1 L,Sin marca,Bebida Isotónica Powerade Naranja 1.1 L,bebida_isotonica_powerade_naranja_sin_marca,20732,
20732;30626,1.1 L,Sin marca,Bebida isotónica powerade naranja 1.1 l,bebida_isotonica_powerade_naranja_sin_marca,30626,
20743;30653,1.5 L,Sin marca,Bebida Fanta Sin Azúcar 1.5 L,bebida_fanta_azucar_sin_marca_general,20743,
20743;30653,1.5 L,Sin marca,Bebida fanta sin azúcar 1.5 l,bebida_fanta_azucar_sin_marca_general,30653,
20747;30325,600 mL,Pepsi,Bebida Pepsi Zero 600 ml,bebida_pepsi_zero_600ml,20747,
20747;30325,600 mL,Pepsi,Bebida pepsi zero 600 ml,bebida_pepsi_zero_600ml,30325,
20758;30618,1 L,Sin marca,Bebida Isotónica Gatorade Naranja 1 L,bebida_isotonica_gatorade_naranja_sin_marca,20758,
20758;30618,1 L,Sin marca,Bebida isotónica gatorade naranja 1 l,bebida_isotonica_gatorade_naranja_sin_marca,30618,
20760;30629,750 mL,Sin marca,Bebida Isotónica Gatorade Cool Blue 750 ml,bebida_isotonica_gatorade_cool_blue_sin,20760,
20760;30629,750 mL,Sin marca,Bebida isotónica gatorade cool blue 750 ml,bebida_isotonica_gatorade_cool_blue_sin,30629,
