sup,nombre,categoria,subcategoria,reason,conf
Jumbo,Agua Micelar Neutrogena Hydro Boost 200 ml + Crema Facial Neutrogena Water Gel 50 g,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Caléndula para Bebé 50 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Desodorante Ambiental Arom Frutilla Crema 225 g,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Día L’Oréal UV Defender Toque Seco FPS 50 40 g,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema de Afeitar Nivea Men Sensitive 100 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Galleta para Perro Naturalist Crema Choco 120 g,"Lacteos, Huevos y Congelados",Crema,mascota_fuera_de_mascotas,Alta
Jumbo,Crema de Manos Nivea Protectora Miel 75 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Nivea Luminous Sérum Corporal y Crema,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema de Manos Nivea Calmante Aloe Vera 75 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Corporal Nivea Body Bronze Coco 400 ml + 400 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Facial Agrado Anti-Mancha Col F50+ 75 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Corporal Nivea Bodymilk con Q10 400 ml + 400 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Espuma de Afeitar Nivea Men Deep 200 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Loción After Shave Nivea Men Deep 100 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema para Manos Nivea Regeneración Intensiva 100 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Jabón Crema Ballerina Karité 800 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Desodorante Crema Dove Reparación Diaria 50 g,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Desodorante Crema Etiquet Women Antitranspirante 60 g,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Desodorante Crema Dove Previene Oscurecimiento 50 g,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Desodorante Crema Etiquet Men Full Protect Antitranspirante 60 g,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Desodorante Crema Dove Previene Irritación 50 g,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Jabón Crema Ballerina Karité Doypack 450 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Pack Nivea Roses Care Agua Micelar + Crema Día + Mist,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Multipropósito Nivea Creme Humectante con Vitamina E 150 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Jabón Líquido Ballerina Crema Piel Sensible 750 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
Jumbo,Crema Multipropósito Nivea Creme 400 ml,"Lacteos, Huevos y Congelados",Crema,higiene_fuera_de_higiene,Alta
