cantidad_productos,formatos,marcas,motivos,muestra_nombres,producto_base,productos_ids
2,0.19kg;0.1kg,sin marca,formatos incompatibles,Bombones de Chocolate Mecano 100 g | Bombones de Chocolate Mecano 190 g,bombones_chocolate_mecano_sin_marca_general,19539;19570
2,0.22kg;0.2kg,sin marca,formatos incompatibles,Crunchis Maní Chocolate 220 g | Crunchis Maní Chocolate 200 g,crunchis_mani_chocolate_sin_marca_general,19612;19744
2,0.035kg;0.105kg,sin marca,formatos incompatibles,Chocolate Prestigio Piña Colada 35 g | Chocolate Prestigio Piña Colada 105 g,chocolate_prestigio_pina_colada_sin_marca,19614;19691
2,0.04kg;0.08kg,sin marca,formatos incompatibles,Chocolate en Ramas 40 g | Chocolate en Ramas 80 g,chocolate_en_ramas_sin_marca_general,19824;19835
2,0.19l;1l,sin marca,formatos incompatibles,Jugo 100% Fruta Manzana 190 ml | Jugo 100% Fruta Manzana 1 L,jugo_100_fruta_manzana_sin_marca,19934;21413
2,0.2l;1l,sin marca,formatos incompatibles,Jugo Afe Pera 200 cc | Jugo Afe Pera 1 L,jugo_afe_pera_sin_marca_general,19935;21480
2,0.19l;1l,sin marca,formatos incompatibles,Jugo 100% Fruta Pera 190 ml | Jugo 100% Fruta Pera 1 L,jugo_100_fruta_pera_sin_marca,19936;21484
2,0.168kg;0.27kg,sin marca,formatos incompatibles,Bombones Funda de Navidad La Fête Chocolat 270 g - La Fete | Bombones Funda de Navidad La Fête Chocolat 168 g - La Fete,bombones_funda_navidad_fete_chocolat_sin,19952;19954
2,0.05kg;0.06kg,sin marca,formatos incompatibles,Snack Mini Salamini Receta del Abuelo 50 g | Snack Mini Salamini Receta del Abuelo 60 g,snack_mini_salamini_receta_del_abuelo,19973;20064
2,0.05kg;0.06kg,sin marca,formatos incompatibles,Snack Mini Chorizo Receta del Abuelo 50 g | Snack Mini Chorizo Receta del Abuelo 60 g,snack_mini_chorizo_receta_del_abuelo,19974;20068
2,0.05kg;0.06kg,sin marca,formatos incompatibles,Snack Mini Pepperoni Receta del Abuelo 50 g | Snack Mini Pepperoni Receta del Abuelo 60 g,snack_mini_pepperoni_receta_del_abuelo,19975;20066
2,0.04kg;0.08kg,sin marca,formatos incompatibles,Snack Gato Whiskas Delicioso Salmón 40 g | Snack Gato Whiskas Delicioso Salmón 80 g,snack_gato_whiskas_delicioso_salmon_sin,19983;20010
2,0.1kg;0.4kg,sin marca,formatos incompatibles,Snack Perro Tiritas de Cordero 100 g | Snack Perro Tiritas de Cordero 400 g,snack_perro_tiritas_cordero_sin_marca,20031;20052
2,0.055kg;0.12kg,sin marca,formatos incompatibles,Snack Perro Vitakraft Boony Bits 120 g | Snack Perro Vitakraft Boony Bits 55 g,snack_perro_vitakraft_boony_bits_sin,20042;20177
2,0.1kg;0.4kg,sin marca,formatos incompatibles,Snack Perros Trutros de Pato con Huesos de Calcio 400 g | Snack Perros Trutros de Pato con Huesos de Calcio 100 g,snack_perros_trutros_pato_con_huesos,20071;20184
2,0.25kg;0.5kg,sin marca,formatos incompatibles,Snack Perro Champion Dog 500 g | Snack Perro Champion Dog 250 g,snack_perro_champion_dog_sin_marca,20131;20143
2,0.0157kg;0.0255kg,sin marca,formatos incompatibles,Snack Perro Pedigree Dentastix Snack Cuidado Oral Raza Mediana 25.5 g 1 un. | Snack Perro Pedigree Dentastix Cuidado Oral Raza Pequeña 15.7 g 1 un.,snack_perro_pedigree_dentastix_cuidado_oral,20179;20193
2,0.12kg;0.18kg,sin marca,formatos incompatibles,Snack Dental para Perro 3 en 1 Pequeño 120 g | Snack Dental para Perro 3 en 1 Mediano 180 g,snack_dental_para_perro_3_en,20190;20192
2,0.35kg;0.7kg,sin marca,formatos incompatibles,Snack Natures Heart Fibra 700 g | Snack Natures Heart fibra 350 g,snack_natures_heart_fibra_sin_marca,20250;20252
2,0.35kg;0.7kg,sin marca,formatos incompatibles,Snack Natures Heart Proteína 350 g | Snack Natures Heart proteína 700 g,snack_natures_heart_sin_marca_proteina,20251;20253
3,0.18kg;0.225kg,sin marca,formatos incompatibles,Mermelada Watt's Durazno 225 g | Mermelada Watt's Durazno Light 225 g | Mermelada Watt's Durazno 180 g,mermelada_watt_s_durazno_sin_marca,20304;20543;20573
2,0.28kg;0.35kg,sin marca,formatos incompatibles,Mermelada Vieja Fábrica Durazno 280 g | Mermelada La Vieja Fábrica Durazno 350 g,mermelada_vieja_fabrica_durazno_sin_marca,20309;20463
3,0.18kg;0.225kg,sin marca,formatos incompatibles,Mermelada Watt's Damasco 225 g | Mermelada Watt's Damasco Light 225 g | Mermelada Watt's Damasco 180 g,mermelada_watt_s_damasco_sin_marca,20310;20541;20574
2,0.28kg;0.35kg,sin marca,formatos incompatibles,Mermelada Vieja Fábrica Frambuesa 280 g | Mermelada La Vieja Fábrica Frambuesa 350 g,mermelada_vieja_fabrica_frambuesa_sin_marca,20312;20456
2,0.335kg;0.37kg,sin marca,formatos incompatibles,Mermelada Bonne Maman Frutilla 370 g | Mermelada Bonne Maman Frutilla 335 g,mermelada_bonne_maman_frutilla_sin_marca,20318;20393
2,0.28kg;0.35kg,sin marca,formatos incompatibles,Mermelada Vieja Fábrica Damasco 280 g | Mermelada La Vieja Fábrica Damasco 350 g,mermelada_vieja_fabrica_damasco_sin_marca,20331;20471
2,0.335kg;0.37kg,sin marca,formatos incompatibles,Mermelada Bonne Maman Damasco 335 g | Mermelada Bonne Maman Damasco 370 g,mermelada_bonne_maman_damasco_sin_marca,20337;20350
2,0.28kg;0.35kg,sin marca,formatos incompatibles,Mermelada Vieja Fábrica Mora 280 g | Mermelada La Vieja Fábrica Mora 350 g,mermelada_vieja_fabrica_mora_sin_marca,20345;20457
2,0.2kg;0.32kg,sin marca,formatos incompatibles,Mermelada En Línea Damasco Sin Azúcar 200 g | Mermelada En Línea Damasco Sin Azúcar 320 g,mermelada_en_linea_damasco_azucar_sin,20348;20429
2,0.335kg;0.37kg,sin marca,formatos incompatibles,Mermelada Bonne Maman Frambuesa 370 g | Mermelada Bonne Maman Frambuesa 335 g,mermelada_bonne_maman_frambuesa_sin_marca,20355;20398
2,0.28kg;0.35kg,sin marca,formatos incompatibles,Mermelada Vieja Fábrica Frutilla 280 g | Mermelada La Vieja Fábrica Frutilla 350 g,mermelada_vieja_fabrica_frutilla_sin_marca,20356;20472
2,0.2kg;0.32kg,sin marca,formatos incompatibles,Mermelada En Línea Frambuesa Sin Azúcar 200 g | Mermelada En Línea Frambuesa Sin Azúcar 320 g,mermelada_en_linea_frambuesa_azucar_sin,20361;20428
2,0.2kg;0.32kg,sin marca,formatos incompatibles,Mermelada En Línea Frutilla Sin Azúcar 200 g | Mermelada En Línea Frutilla Sin Azúcar 320 g,mermelada_en_linea_frutilla_azucar_sin,20373;20417
2,0.335kg;0.37kg,sin marca,formatos incompatibles,Mermelada Bonne Maman Naranja 335 g | Mermelada Bonne Maman Naranja 370 g,mermelada_bonne_maman_naranja_sin_marca,20376;20454
2,0.2kg;0.32kg,sin marca,formatos incompatibles,Mermelada En Línea Mora Sin Azúcar 200 g | Mermelada En Línea Mora Sin Azúcar 320 g,mermelada_en_linea_mora_azucar_sin,20379;20413
2,0.18kg;0.225kg,sin marca,formatos incompatibles,Mermelada Watt's Membrillo 225 g | Mermelada Watt's Membrillo 180 g,mermelada_watt_s_membrillo_sin_marca,20381;20580
